record,tp,fp,fn,sensitivity,ppv,f1,mean_timing_error_ms
sel301,1349,3,0,1.0,0.9977810650887574,0.9988893002591632,4.308376575240919
sel302,1498,3,1,0.9993328885923949,0.9980013324450366,0.9986666666666667,6.120160213618157
sel306,1039,1,0,1.0,0.9990384615384615,0.9995189995189995,2.410009624639076
sel307,851,3,0,1.0,0.9964871194379391,0.9982404692082112,4.54524089306698
sel308,1275,22,17,0.9868421052631579,0.9830377794911334,0.984936268829664,49.53098039215686
sel31,1085,2,1,0.9990791896869244,0.9981600735970562,0.9986194201564658,3.343778801843318
sel310,2009,3,1,0.9995024875621891,0.9985089463220675,0.9990054699154649,5.25634644101543
sel32,702,3,492,0.5879396984924623,0.9957446808510638,0.7393364928909952,5.196581196581197
sel33,523,4,0,1.0,0.9924098671726755,0.9961904761904762,3.0363288718929256
sel34,896,1,0,1.0,0.9988851727982163,0.9994422755158952,3.8392857142857144
sel35,847,8,42,0.952755905511811,0.9906432748538012,0.9713302752293578,2.6399055489964582
sel36,946,2,0,1.0,0.9978902953586498,0.9989440337909187,3.171247357293869
sel37,655,13,12,0.9820089955022488,0.9805389221556886,0.9812734082397003,5.6122137404580155
sel38,1561,2,0,1.0,0.9987204094689699,0.9993597951344431,63.1185137732223
sel39,1170,1,0,1.0,0.9991460290350128,0.9995728321230244,11.757264957264958
sel40,1064,4,4,0.9962546816479401,0.9962546816479401,0.9962546816479401,77.97744360902256
sel41,839,529,525,0.6151026392961877,0.6133040935672515,0.6142020497803806,88.06674612634089
sel42,1244,4,1,0.9991967871485944,0.9967948717948718,0.9979943842759728,58.22186495176849
sel43,1427,3,1,0.9992997198879552,0.9979020979020979,0.9986004198740378,42.999299229152065
sel44,1304,2,34,0.9745889387144993,0.998468606431853,0.9863842662632375,4.199386503067485
sel45,970,2,0,1.0,0.9979423868312757,0.9989701338825953,7.455670103092784
sel46,851,5,0,1.0,0.9941588785046729,0.997070884592853,3.0317273795534665
sel47,884,2,0,1.0,0.9977426636568849,0.9988700564971752,4.900452488687783
sel48,1394,1,3,0.9978525411596277,0.9992831541218637,0.998567335243553,5.279770444763271
sel49,814,6,18,0.9783653846153846,0.9926829268292683,0.9854721549636803,7.572481572481572
sel50,656,5,0,1.0,0.9924357034795764,0.9962034927866363,5.585365853658536
sel51,748,1,0,1.0,0.9986648865153538,0.9993319973279893,6.475935828877005
sel52,1410,1,1,0.9992912827781715,0.9992912827781715,0.9992912827781715,4.099290780141844
sel803,1025,1,0,1.0,0.9990253411306043,0.999512432959532,4.495609756097561
sel808,902,1,0,1.0,0.9988925802879292,0.9994459833795014,4.208425720620842
sel811,701,3,0,1.0,0.9957386363636364,0.997864768683274,3.9600570613409416
sel820,1157,2,0,1.0,0.998274374460742,0.9991364421416234,2.216076058772688
sel821,1551,6,5,0.9967866323907455,0.9961464354527938,0.9964664310954063,20.931012250161185
sel840,1178,3,0,1.0,0.9974597798475868,0.9987282746926663,6.6825127334465195
sel847,800,1,0,1.0,0.9987515605493134,0.9993753903810119,4.125
sel853,1111,2,0,1.0,0.9982030548068284,0.9991007194244604,6.189018901890189
sel871,913,3,2,0.9978142076502732,0.9967248908296943,0.9972692517749864,32.85432639649507
sel872,988,2,0,1.0,0.997979797979798,0.9989888776541962,4.493927125506073
sel873,857,2,0,1.0,0.9976717112922002,0.9988344988344988,4.242707117852976
sel883,891,2,0,1.0,0.9977603583426652,0.9988789237668162,4.197530864197531
sel891,1264,2,1,0.9992094861660079,0.9984202211690363,0.9988146977479258,9.528481012658228
sele0104,801,3,0,1.0,0.996268656716418,0.9981308411214953,6.67665418227216
sele0106,617,280,277,0.6901565995525727,0.6878483835005574,0.689000558347292,80.16855753646678
sele0107,811,0,1,0.9987684729064039,1.0,0.9993838570548367,26.017262638717632
sele0110,851,21,19,0.9781609195402299,0.9759174311926605,0.9770378874856487,21.715628672150412
sele0111,892,9,14,0.9845474613686535,0.9900110987791343,0.9872717210846708,33.01345291479821
sele0112,683,1,1,0.9985380116959064,0.9985380116959064,0.9985380116959064,8.152269399707174
sele0114,696,2,0,1.0,0.997134670487106,0.9985652797704447,29.367816091954023
sele0116,556,3,0,1.0,0.9946332737030411,0.9973094170403587,3.9928057553956835
sele0121,1428,2,4,0.9972067039106145,0.9986013986013986,0.9979035639412998,4.512605042016807
sele0122,1412,2,0,1.0,0.9985855728429985,0.9992922859164898,4.7733711048158645
sele0124,1120,1,0,1.0,0.9991079393398751,0.999553770638108,6.264285714285714
sele0126,944,2,0,1.0,0.9978858350951374,0.9989417989417989,21.03813559322034
sele0129,628,130,70,0.8997134670487106,0.8284960422163589,0.8626373626373627,55.51592356687898
sele0133,839,1,0,1.0,0.9988095238095238,0.9994044073853484,43.06078665077473
sele0136,806,3,0,1.0,0.9962917181705809,0.9981424148606811,5.478908188585608
sele0166,810,3,0,1.0,0.996309963099631,0.9981515711645101,6.874074074074074
sele0170,895,2,0,1.0,0.9977703455964325,0.9988839285714286,4.920670391061453
sele0203,1245,2,0,1.0,0.9983961507618284,0.9991974317817014,3.829718875502008
sele0210,1061,2,0,1.0,0.9981185324553151,0.9990583804143126,4.6220546654099905
sele0211,1574,1,0,1.0,0.9993650793650793,0.9996824388694824,9.306226175349428
sele0303,1042,2,1,0.9990412272291467,0.9980842911877394,0.9985625299472928,7.777351247600768
sele0405,1214,2,0,1.0,0.9983552631578947,0.9991769547325103,4.243822075782537
sele0406,957,2,0,1.0,0.9979144942648592,0.9989561586638831,9.233019853709509
sele0409,1735,2,4,0.9976998274870615,0.9988485895221646,0.9982738780207134,5.205763688760807
sele0411,1200,1,1,0.9991673605328892,0.9991673605328892,0.9991673605328892,4.546666666666667
sele0509,1027,1,0,1.0,0.9990272373540856,0.9995133819951338,6.851022395326193
sele0603,867,2,0,1.0,0.997698504027618,0.9988479262672811,8.719723183391004
sele0604,1030,1,0,1.0,0.9990300678952473,0.9995147986414362,27.805825242718445
sele0606,1439,2,2,0.9986120749479528,0.9986120749479528,0.9986120749479528,4.158443363446838
sele0607,1182,2,0,1.0,0.9983108108108109,0.9991546914623838,5.94585448392555
sele0609,1123,2,2,0.9982222222222222,0.9982222222222222,0.9982222222222222,7.960819234194123
sele0612,749,2,0,1.0,0.9973368841544608,0.9986666666666667,4.186915887850467
sele0704,1089,1,4,0.9963403476669717,0.9990825688073395,0.9977095739807604,19.2910927456382
