record,tp,fp,fn,sensitivity,ppv,f1,mean_timing_error_ms
56,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.4
57,12,2,0,1.0,0.8571428571428571,0.9230769230769231,2.3333333333333335
58,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
59,6,2,0,1.0,0.75,0.8571428571428571,2.6666666666666665
6,7,2,0,1.0,0.7777777777777778,0.875,1.1428571428571428
60,8,2,0,1.0,0.8,0.8888888888888888,2.5
61,8,3,0,1.0,0.7272727272727273,0.8421052631578947,2.5
62,9,2,0,1.0,0.8181818181818182,0.9,1.3333333333333333
63,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.0
64,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
65,12,2,0,1.0,0.8571428571428571,0.9230769230769231,1.3333333333333333
66,6,2,0,1.0,0.75,0.8571428571428571,1.3333333333333333
67,7,2,0,1.0,0.7777777777777778,0.875,1.7142857142857142
68,9,2,0,1.0,0.8181818181818182,0.9,1.3333333333333333
69,11,2,0,1.0,0.8461538461538461,0.9166666666666666,4.0
7,8,2,0,1.0,0.8,0.8888888888888888,2.5
70,13,2,0,1.0,0.8666666666666667,0.9285714285714286,2.1538461538461537
71,8,2,0,1.0,0.8,0.8888888888888888,1.0
72,8,2,0,1.0,0.8,0.8888888888888888,2.0
73,8,2,0,1.0,0.8,0.8888888888888888,1.0
74,2,8,7,0.2222222222222222,0.2,0.21052631578947367,42.0
75,9,2,0,1.0,0.8181818181818182,0.9,2.2222222222222223
76,11,1,0,1.0,0.9166666666666666,0.9565217391304348,2.5454545454545454
77,10,2,0,1.0,0.8333333333333334,0.9090909090909091,0.4
78,8,2,0,1.0,0.8,0.8888888888888888,2.0
79,8,2,0,1.0,0.8,0.8888888888888888,3.5
8,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.0
80,11,1,0,1.0,0.9166666666666666,0.9565217391304348,2.909090909090909
81,11,2,0,1.0,0.8461538461538461,0.9166666666666666,1.4545454545454546
82,7,2,0,1.0,0.7777777777777778,0.875,15.428571428571429
83,3,1,7,0.3,0.75,0.42857142857142855,2.6666666666666665
84,8,2,0,1.0,0.8,0.8888888888888888,3.5
85,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.8
86,12,2,0,1.0,0.8571428571428571,0.9230769230769231,1.0
87,12,2,0,1.0,0.8571428571428571,0.9230769230769231,3.0
88,12,3,0,1.0,0.8,0.8888888888888888,1.3333333333333333
89,10,2,0,1.0,0.8333333333333334,0.9090909090909091,1.2
9,9,3,0,1.0,0.75,0.8571428571428571,2.2222222222222223
90,0,10,8,0.0,0.0,0.0,
91,11,2,0,1.0,0.8461538461538461,0.9166666666666666,2.1818181818181817
92,14,3,0,1.0,0.8235294117647058,0.9032258064516129,2.5714285714285716
93,1,9,7,0.125,0.1,0.1111111111111111,64.0
94,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.8
95,8,2,1,0.8888888888888888,0.8,0.8421052631578947,3.5
96,12,2,0,1.0,0.8571428571428571,0.9230769230769231,2.0
97,8,2,0,1.0,0.8,0.8888888888888888,4.0
98,8,2,0,1.0,0.8,0.8888888888888888,1.5
99,12,2,0,1.0,0.8571428571428571,0.9230769230769231,3.0
